canonical_identity	target	owner	field	definition	abi_fingerprint	scope
compiler/abi/abi_versioning.inc::NEBO_ABI_METADATA_MAGIC	x86_64-systemv-elf-linux	compiler/abi/abi_versioning.inc	NEBO_ABI_METADATA_MAGIC	0x4e42414249323731	7e1fa633792cde7f4e7572feccbc3951c317315da554328082d5bc65f8f42fbe	Owner contract; internal fields remain internal; no universal ABI promise
compiler/abi/abi_versioning.inc::NEBO_ABI_REPORT_MAGIC	x86_64-systemv-elf-linux	compiler/abi/abi_versioning.inc	NEBO_ABI_REPORT_MAGIC	0x4e42415250543237	93f647d4cf81221605ad16c7ec5c1c781e9908d13eeb6783db4f862c7e209700	Owner contract; internal fields remain internal; no universal ABI promise
compiler/abi/abi_versioning.inc::NEBO_ABI_SCHEMA_VERSION	x86_64-systemv-elf-linux	compiler/abi/abi_versioning.inc	NEBO_ABI_SCHEMA_VERSION	1	65468960c667ef31235ec3b916fb61f184052647c3b152c389da40e98735a71f	Owner contract; internal fields remain internal; no universal ABI promise
compiler/abi/abi_versioning.inc::NEBO_ABI_CURRENT_MAJOR	x86_64-systemv-elf-linux	compiler/abi/abi_versioning.inc	NEBO_ABI_CURRENT_MAJOR	0	eb63a88f632d121e2ec3586c82c0290986097b1f7c1ff6c90dc523b0c959afe0	Owner contract; internal fields remain internal; no universal ABI promise
compiler/abi/abi_versioning.inc::NEBO_ABI_CURRENT_MINOR	x86_64-systemv-elf-linux	compiler/abi/abi_versioning.inc	NEBO_ABI_CURRENT_MINOR	0	5a496a5081163b2254efab35997d66db552799b40b2f93f4bbdefca850114840	Owner contract; internal fields remain internal; no universal ABI promise
compiler/abi/abi_versioning.inc::NEBO_RUNTIME_CURRENT_MAJOR	x86_64-systemv-elf-linux	compiler/abi/abi_versioning.inc	NEBO_RUNTIME_CURRENT_MAJOR	0	57373219165d510b4f678bd44532ff245ba9ebc6073c2d4aa544ed00cb3bdf24	Owner contract; internal fields remain internal; no universal ABI promise
compiler/abi/abi_versioning.inc::NEBO_RUNTIME_CURRENT_MINOR	x86_64-systemv-elf-linux	compiler/abi/abi_versioning.inc	NEBO_RUNTIME_CURRENT_MINOR	0	c0b252db36c509d321dd59c4d3d2eea14b675b5e61f1e81bc943f7978544507f	Owner contract; internal fields remain internal; no universal ABI promise
compiler/abi/abi_versioning.inc::NEBO_OBJECT_METADATA_VERSION	x86_64-systemv-elf-linux	compiler/abi/abi_versioning.inc	NEBO_OBJECT_METADATA_VERSION	1	cc80b8c7b078d26c84ce762edf7fc9aeaca6ace7a868744953aa4e19a70d7509	Owner contract; internal fields remain internal; no universal ABI promise
compiler/abi/abi_versioning.inc::NEBO_ABI_TARGET_X86_64_SYSTEMV_ELF_LINUX	x86_64-systemv-elf-linux	compiler/abi/abi_versioning.inc	NEBO_ABI_TARGET_X86_64_SYSTEMV_ELF_LINUX	0x7838365f36345f6c	2b2c383769bae6d3787c7cc8f33667474a57121ef4cb6346129edd7f0e387dbd	Owner contract; internal fields remain internal; no universal ABI promise
compiler/abi/abi_versioning.inc::NEBO_ABI_DATALAYOUT_X86_64_SYSTEMV_ELF	x86_64-systemv-elf-linux	compiler/abi/abi_versioning.inc	NEBO_ABI_DATALAYOUT_X86_64_SYSTEMV_ELF	0x400801	07bceb124d3f2c97d0753c99d986775027d137a10c3607b994e200363d22f322	Owner contract; internal fields remain internal; no universal ABI promise
